FECHA,DISPOSITIVO,TIEMPO DE SESION,TRAFICO DE SUBIDA,TRAFICO BAJADA,SESIONES,USUARIOS,ID ZONA,NOMBRE ZONA,MUNICIPIO
30/10/2021,34fa9f248790,149937,278,5993,410,91,1719,7640008003_LA UNION_SAN PEDRO,LA UNION
30/10/2021,34fa9f24a4e0,1900,3,53,2,1,1730,7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
30/10/2021,34fa9f245430,3393,4,67,3,3,1646,7623308002_Valle del Cauca_Dagua_Parque El ll,DAGUA
30/10/2021,34fa9f24f2b0,18827,75,1814,6,6,1639,7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
30/10/2021,34fa9f253130,7297,8,218,6,5,1730,7611308001_BUGALAGRANDE_PARQUE BARRIO COCICOI,BUGALAGRANDE
30/10/2021,34fa9f250430,1445,1,38,9,5,1664,7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
30/10/2021,34fa9f245b20,11770,14,199,13,8,1664,7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
30/10/2021,34fa9f246090,47377,110,3526,15,14,1694,7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
30/10/2021,34fa9f24fda0,25898,22,362,16,12,1639,7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
30/10/2021,34fa9f2486d0,10664,17,556,22,13,1713,7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
30/10/2021,8c7a151b1150,10428,23,571,24,13,1635,7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
30/10/2021,34fa9f247020,20530,211,628,29,14,1686,7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
30/10/2021,34fa9f247400,5451,5,86,33,5,1674,7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
30/10/2021,34fa9f248e20,8070,15,161,36,9,1674,7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
30/10/2021,34fa9f253750,37024,124,1219,36,21,1682,7689208002_Valle del Cauca_Yumbo_IMDERTY,YUMBO
30/10/2021,34fa9f247060,18576,31,563,36,17,1682,7689208002_Valle del Cauca_Yumbo_IMDERTY,YUMBO
30/10/2021,34fa9f2474f0,40244,76,1560,37,22,1713,7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
30/10/2021,34fa9f2441d0,15970,50,570,39,15,1653,7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
30/10/2021,34fa9f2495a0,8762,26,586,39,9,1716,7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
30/10/2021,34fa9f247760,43854,155,3434,44,21,1683,7649708002_Obando_Villa Europa,OBANDO
30/10/2021,34fa9f2470e0,18283,66,1077,47,12,1716,7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
31/10/2021,34fa9f254a60,137117,442,7154,84,59,1633,7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
31/10/2021,34fa9f2523d0,124351,795,4428,109,70,1633,7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
31/10/2021,34fa9f248c40,150799,1747,6877,214,76,1641,7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
31/10/2021,34fa9f252a10,96098,202,2214,284,75,1642,7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
