FECHA,DISPOSITIVO,TIEMPO DE SESION,TRAFICO DE SUBIDA,TRAFICO BAJADA,SESIONES,USUARIOS,ID ZONA,NOMBRE ZONA,MUNICIPIO
14/11/2021,34fa9f2446f0,"50,960",788,"1,569",52,30,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
14/11/2021,34fa9f246090,"19,417",30,888,7,6,"1,694",7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
14/11/2021,8c7a151ae0d0,"81,305",166,"3,226",133,55,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
14/11/2021,34fa9f255690,"32,379",318,"4,726",55,22,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
14/11/2021,34fa9f248b50,"194,000",393,"10,845",389,73,"1,702",7689208003_Valle del Cauca_Yumbo_Polidepo,YUMBO
14/11/2021,34fa9f245c70,"24,603",81,698,33,16,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
14/11/2021,34fa9f246fc0,"55,781",186,"3,570",73,28,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
14/11/2021,34fa9f2474f0,"64,793",165,"1,641",102,37,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
14/11/2021,34fa9f2486d0,"8,820",10,149,46,22,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
14/11/2021,34fa9f2470e0,"49,907",73,"1,289",227,45,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
14/11/2021,34fa9f2495a0,"45,013",209,"1,869",194,45,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
14/11/2021,34fa9f249860,"138,928",753,"6,302",376,122,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
14/11/2021,34fa9f248790,"190,137",363,"4,525",371,133,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
15/11/2021,34fa9f2523d0,"165,853","1,492","11,412",142,77,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
15/11/2021,34fa9f254a60,"121,410",507,"5,794",219,60,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
15/11/2021,34fa9f24f2b0,"19,490",73,"1,067",53,23,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
15/11/2021,34fa9f24fda0,"58,581",206,"2,803",100,29,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
15/11/2021,34fa9f248c40,"250,642","1,566","9,597",303,94,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
15/11/2021,34fa9f252a10,"39,334",65,"1,061",52,20,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
15/11/2021,34fa9f24fe40,"30,817",58,"1,194",54,14,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
15/11/2021,34fa9f245430,"144,377",554,"2,497",135,66,"1,646",7623308002_Valle del Cauca_Dagua_Parque El ll,DAGUA
15/11/2021,34fa9f248ae0,"66,499",173,"3,132",310,30,"1,683",7649708002_Obando_Villa Europa,OBANDO
15/11/2021,34fa9f247760,"58,180",377,"1,714",77,23,"1,683",7649708002_Obando_Villa Europa,OBANDO
15/11/2021,34fa9f247f70,"49,629",253,"5,364",82,31,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
15/11/2021,34fa9f2534a0,"50,883",99,"1,795",73,36,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
15/11/2021,34fa9f248b40,"41,032",98,"1,209",196,20,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
15/11/2021,34fa9f247020,"21,564",47,587,205,19,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
15/11/2021,34fa9f245040,"11,851",27,364,44,14,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
15/11/2021,34fa9f2446f0,"30,548",29,583,67,16,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
15/11/2021,8c7a151ae0d0,"80,193",472,"4,578",132,53,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
15/11/2021,34fa9f248b50,"99,902",261,"2,271",67,36,"1,702",7689208003_Valle del Cauca_Yumbo_Polidepo,YUMBO
15/11/2021,34fa9f2486d0,"9,655",13,473,45,12,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
15/11/2021,34fa9f2474f0,"18,902",63,708,62,18,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
15/11/2021,34fa9f2470e0,"55,180",91,"1,873",133,36,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
15/11/2021,34fa9f2495a0,"28,839",37,381,107,24,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
15/11/2021,34fa9f248790,"35,106",396,"1,158",63,27,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
15/11/2021,34fa9f249860,"32,392",454,"1,083",59,28,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
15/11/2021,8c7a151b1150,"3,810",60,211,5,4,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
15/11/2021,34fa9f252d00,"13,816",57,471,11,8,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
15/11/2021,34fa9f250430,"13,003",15,302,11,8,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
15/11/2021,34fa9f246090,"37,099",111,"2,147",11,11,"1,694",7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
15/11/2021,34fa9f245c70,"22,395",29,501,12,10,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
15/11/2021,34fa9f245b20,"5,376",8,163,14,6,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
15/11/2021,34fa9f251150,"10,307",14,57,15,6,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
15/11/2021,34fa9f2441d0,"7,274",14,119,15,6,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
15/11/2021,34fa9f246fc0,"16,582",47,847,18,6,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
15/11/2021,34fa9f255690,"15,860",46,"1,380",28,12,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
15/11/2021,34fa9f250860,"5,341",9,151,33,13,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
15/11/2021,34fa9f249950,"53,356",130,"2,521",46,24,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
16/11/2021,34fa9f254a60,"140,378",408,"5,393",144,68,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
16/11/2021,34fa9f2523d0,"174,043",312,"4,913",154,76,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
16/11/2021,34fa9f248c40,"144,297",297,"4,393",82,55,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
16/11/2021,34fa9f250860,"57,819",101,"1,673",93,40,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
16/11/2021,34fa9f252a10,"36,095",69,914,94,41,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
16/11/2021,34fa9f249950,"97,852",261,"6,756",95,50,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
16/11/2021,34fa9f24fe40,"46,165",51,900,76,28,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
16/11/2021,34fa9f248ae0,"38,950",70,"1,215",46,18,"1,683",7649708002_Obando_Villa Europa,OBANDO
16/11/2021,34fa9f247f70,"76,864",172,"3,183",175,72,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
16/11/2021,34fa9f2534a0,"47,659",80,"1,369",129,56,"1,685",7689508001_Valle del Cauca_Zarzal_Parque san,ZARZAL
16/11/2021,34fa9f247020,"35,332",80,717,67,21,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
16/11/2021,34fa9f248b40,"27,567",82,"1,250",49,19,"1,686",7689208001_Valle del Cauca_Yumbo_Guadalupe,YUMBO
16/11/2021,34fa9f2446f0,"19,335",12,107,83,16,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
16/11/2021,34fa9f245040,"38,793",58,784,92,20,"1,691",7667008001_Valle del Cauca_San Pedro_Parque,SAN PEDRO
16/11/2021,8c7a151ae0d0,"58,216",109,"2,375",110,42,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
16/11/2021,34fa9f248b50,"160,152",274,"4,542",76,56,"1,702",7689208003_Valle del Cauca_Yumbo_Polidepo,YUMBO
16/11/2021,34fa9f2495a0,"37,300",64,973,184,37,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
16/11/2021,34fa9f2470e0,"36,344",48,"1,072",176,33,"1,716",7640008002_LA UNION_CASA DE LA CULTURA Y ERMI,LA UNION
16/11/2021,34fa9f248790,"89,598",300,"2,224",204,67,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
16/11/2021,34fa9f249860,"103,835",685,"7,047",226,72,"1,719",7640008003_LA UNION_SAN PEDRO,LA UNION
16/11/2021,34fa9f22b070,"6,306",77,200,3,2,"1,673",7673608003_Valle del Cauca_Sevilla_Vereda Ceb,SEVILLA
16/11/2021,34fa9f248e20,555,1,19,3,1,"1,674",7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
16/11/2021,34fa9f247400,"8,395",20,510,5,4,"1,674",7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
16/11/2021,34fa9f2441d0,"2,716",3,48,6,4,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
16/11/2021,34fa9f251150,"1,316",1,13,6,3,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
16/11/2021,34fa9f255690,"2,277",5,114,12,5,"1,700",7689508002_Valle del Cauca_Zarzal_Parque,ZARZAL
16/11/2021,34fa9f2486d0,"8,989",26,268,12,10,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
16/11/2021,34fa9f245b20,"2,172",1,16,17,4,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
16/11/2021,34fa9f245c70,"10,073",22,947,17,7,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
16/11/2021,34fa9f2474f0,"18,271",40,412,20,11,"1,713",7624808002_EL CERRITO_PARQUE EL PLACER,EL CERRITO
16/11/2021,34fa9f250430,"16,104",27,453,24,9,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
16/11/2021,8c7a151b1150,"9,918",28,332,25,17,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
16/11/2021,34fa9f246fc0,"16,032",40,792,25,12,"1,706",7682308002_Valle del Cauca_Toro_El Chanco,TORO
16/11/2021,34fa9f252d00,"30,267",161,872,31,22,"1,635",7614708003_Valle del Cauca_Cartago_casa del v,CARTAGO
16/11/2021,34fa9f247760,"37,812",83,"1,432",37,17,"1,683",7649708002_Obando_Villa Europa,OBANDO
16/11/2021,34fa9f24fda0,"41,998",114,"1,465",42,23,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
16/11/2021,34fa9f246090,"58,754",250,"1,926",43,25,"1,694",7631808001_Valle del Cauca_GuacarÃ­_Casa,GUACARÍ
16/11/2021,34fa9f24f2b0,"31,611",124,"1,616",44,22,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
16/11/2021,34fa9f245430,"48,182",205,"3,828",45,24,"1,646",7623308002_Valle del Cauca_Dagua_Parque El ll,DAGUA
17/11/2021,34fa9f254a60,"159,079","1,254","3,880",246,81,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
17/11/2021,34fa9f2523d0,"175,971",233,"4,454",162,88,"1,633",7614708001_Valle del Cauca_Cartago_Plaza de M,CARTAGO
17/11/2021,34fa9f24fda0,"26,785",77,656,54,22,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
17/11/2021,34fa9f24f2b0,"27,062",209,"2,056",65,19,"1,639",7603608002_Valle del Cauca_AndalucÃ­a_Pista At,ANDALUCÃA
17/11/2021,34fa9f248c40,"251,541",592,"9,203",171,100,"1,641",7610908001_Valle del Cauca_Buenaventura_Muell,BUENAVENTURA
17/11/2021,34fa9f250860,"52,022",207,"2,305",128,48,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
17/11/2021,34fa9f252a10,"40,883",47,593,132,36,"1,642",7612208001_Valle del Cauca_Caicedonia_Parque,CAICEDONIA
17/11/2021,34fa9f249950,"81,970",126,"2,579",80,44,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
17/11/2021,34fa9f24fe40,"80,576",214,"1,242",72,39,"1,645",7613008002_Valle del Cauca_Candelaria_Poblado,CANDELARIA
17/11/2021,34fa9f2441d0,"21,451",25,89,42,11,"1,653",7630608002_Valle del Cauca_Ginebra_Parque del,GINEBRA
17/11/2021,34fa9f250430,"26,781",43,620,38,15,"1,664",7652008002_Valle del Cauca_Palmira_Parque san,PALMIRA
17/11/2021,34fa9f22b070,"166,047",418,"6,565",116,60,"1,673",7673608003_Valle del Cauca_Sevilla_Vereda Ceb,SEVILLA
17/11/2021,34fa9f247400,"12,206",56,323,59,10,"1,674",7683408001_Valle del Cauca_TuluÃ¡_Coliseo de F,TULUÁ
